Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"ELBOW 3 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1375,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181677mm N 154533.8mm U 1609.848mm,,,,
ileave tube of =67132086/1374,=67132086/1374,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181677mm N 155308.4mm U 1609.848mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1374,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181677mm N 156083mm U 1609.848mm,,,,
ileave tube of =67132086/1373,=67132086/1373,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181551mm N 156083mm U 1609.848mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1373,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 156083mm U 1609.848mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1372,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 156083mm U 1453.848mm,,,,
"BTRM-1000-4""-P1710019-66620M0-01/B2",=67132086/1371,BRAN,,"BTRM-1000-4""-P1710019-66620M0-01",,,,,
"GASKET 2 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B1",=67132086/1370,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1195.998mm,,,,
17-RO-10003,=67132086/1369,INST,SPCOM-INST-600#/ROPW-100,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1210.998mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-P1710019-66620M0-01/B1",=67132086/1368,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-4""-P1710019-66620M0-01",E 181425mm N 154533.8mm U 1214.198mm,,,,
"BTRM-1000-4""-P1710019-66620M0-01/B1",=67132086/1367,BRAN,,"BTRM-1000-4""-P1710019-66620M0-01",,,,,
"BTRM-1000-4""-P1710019-66620M0-01",=67132086/1366,PIPE,,"BTRM-1000-4""-P1710019-66620M0-01",,,,,
"GASKET 2 of BRANCH /BTRM-1000-2""-P1710017-66620M0-01/B1",=67132086/1365,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-P1710017-66620M0-01",E 181425mm N 156083mm U 1450.648mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-2""-P1710017-66620M0-01/B1",=67132086/1364,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-2""-P1710017-66620M0-01",E 181425mm N 156083mm U 1304.648mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-2""-P1710017-66620M0-01/B1",=67132086/1363,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-2""-P1710017-66620M0-01",E 181425mm N 156083mm U 1155.448mm,,,,
"BTRM-1000-2""-P1710017-66620M0-01/B1",=67132086/1362,BRAN,,"BTRM-1000-2""-P1710017-66620M0-01",,,,,
"BTRM-1000-2""-P1710017-66620M0-01",=67132086/1361,PIPE,,"BTRM-1000-2""-P1710017-66620M0-01",,,,,
"GASKET 4 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1360,GASK,66620M0r01-GAS1/GKSW-150,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 145918.202mm U 902.405mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1359,FLAN,66620M0r01-GAS1/WNFL-150,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 145918.202mm U 902.405mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1358,REDU,66620M0r01-GAS1/REEB-200x150,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 146194.202mm U 927.805mm,,,,
ileave tube of =67132086/1357,=67132086/1357,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 146986.202mm U 927.805mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1357,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 147918.202mm U 927.805mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1356,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 147921.402mm U 927.805mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1355,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.003mm N 147921.402mm U 927.805mm,,,,
ileave tube of /PS-171072.2,=67132086/1354,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425.001mm N 148332.726mm U 927.801mm,,,,
PS-171072.2,=67132086/1354,ATTA,MDS/GT573-200-PMP,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 148604.05mm U 927.798mm,,,,
PS-171067.8,=67132086/1353,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 148604.05mm U 927.798mm,,,,
PS-171067.2,=67132086/1352,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 148604.05mm U 927.798mm,,,,
ileave tube of =67132086/1351,=67132086/1351,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 149329.25mm U 927.798mm,,,,
"OLET 4 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1351,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150054.45mm U 927.798mm,,,,
ileave tube of =67132086/1350,=67132086/1350,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150118.45mm U 927.798mm,,,,
"OLET 3 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1350,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150182.45mm U 927.798mm,,,,
ileave tube of =67132086/1349,=67132086/1349,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150252.45mm U 927.798mm,,,,
"OLET 2 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1349,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150322.45mm U 927.798mm,,,,
ileave tube of =67132086/1348,=67132086/1348,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 150920.625mm U 927.798mm,,,,
"OLET 1 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1348,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151518.8mm U 927.798mm,,,,
ileave tube of =67132086/1347,=67132086/1347,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151643.8mm U 927.798mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1347,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151908.8mm U 927.798mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1346,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151912mm U 927.798mm,,,,
"PCOMPONENT 1 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1345,PCOM,66620M0r01-GAS1/SPNF-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151940.4mm U 927.798mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1344,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 151943.6mm U 927.798mm,,,,
17-VBL-20014,=67132086/1343,VALV,66620M0r01-GAS1/BTRF-200,"BTRM-1000-8""-P1710043-66620M0-01",E 181425mm N 152273.6mm U 927.798mm,,,,
"BTRM-1000-8""-P1710043-66620M0-01/B1",=67132086/1342,BRAN,,"BTRM-1000-8""-P1710043-66620M0-01",,,,,
"BTRM-1000-8""-P1710043-66620M0-01",=67132086/1341,PIPE,,"BTRM-1000-8""-P1710043-66620M0-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B9",=67132086/1340,FLAN,66620M0r01-GAS1/WNFL-100,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 154533.8mm U 1192.798mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B9",=67132086/1339,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B8",=67132086/1338,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156083mm U 1155.45mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B8",=67132086/1337,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B7",=67132086/1336,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 151600mm N 160008.2mm U 1087.2mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B7",=67132086/1335,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1334,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 1155.448mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1333,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 1158.648mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1332,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 1158.648mm,,,,
ileave tube of =67132086/1331,=67132086/1331,TUBI,66620M0r01-GAS1/PIPE-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 1264.848mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1331,ELBO,66620M0r01-GAS1/E90B-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 1367.048mm,,,,
"REDUCER 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1330,REDU,66620M0r01-GAS1/RECB-50x25,"BTRM-1000-8""-P1710002-66620M0-01",E 181349mm N 157968.4mm U 1367.048mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1329,REDU,66620M0r01-GAS1/RECB-25x15,"BTRM-1000-8""-P1710002-66620M0-01",E 181273mm N 157968.4mm U 1367.048mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1328,FLAN,66620M0r01-GAS1/WNFL-15,"BTRM-1000-8""-P1710002-66620M0-01",E 181163mm N 157968.4mm U 1367.048mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B6",=67132086/1327,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
17-PT-10004,=67132086/1326,PIPCA,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
17-PIS-10004,=67132086/1325,INST,SPCOM-INST-600#/PRIT-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1454.05mm,,,,
"INSTRUMENT 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1324,INST,SPCOM-600#/DPHS-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1435.05mm,,,,
"GASKET 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1323,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1431.85mm,,,,
"INSTRUMENT 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1322,INST,SPCOM-600#/DRNV-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1411.85mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1321,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1388.65mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1320,VALV,66620M0r01-GAS1/MDOF-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1158.65mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1319,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1155.45mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1318,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 1155.45mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B5",=67132086/1317,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B4",=67132086/1316,FBLI,66620M0r01-GAS1/BLFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158953.2mm U 1925.4mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B4",=67132086/1315,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158953.2mm U 1922.2mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B4",=67132086/1314,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158953.2mm U 1922.2mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B4",=67132086/1313,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1312,FBLI,66620M0r01-GAS1/BLFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 1453.85mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1311,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 1450.65mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1310,VALV,66620M0r01-GAS1/BARFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 1304.65mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1309,GASK,66620M0r01-GAS1/GKSW-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 1155.45mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1308,FLAN,66620M0r01-GAS1/WNFL-50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 1155.45mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B3",=67132086/1307,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"GASKET 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1306,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 152606.8mm U 927.798mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1305,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 152606.8mm U 927.798mm,,,,
ileave tube of =67132086/1304,=67132086/1304,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 152821.8mm U 927.798mm,,,,
"OLET 7 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1304,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 152896.8mm U 927.798mm,,,,
"OLET 6 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1303,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 152896.8mm U 927.798mm,,,,
ileave tube of /PS-171061.8,=67132086/1302,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 153337mm U 927.798mm,,,,
PS-171061.8,=67132086/1302,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 153777.2mm U 927.798mm,,,,
PS-171061.3,=67132086/1301,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 153777.2mm U 927.798mm,,,,
ileave tube of =67132086/1300,=67132086/1300,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 154066.5mm U 927.798mm,,,,
"TEE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1300,TEE,66620M0r01-GAS1/TERB-200x100,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 154533.8mm U 927.798mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1299,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 154851.8mm U 927.798mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1298,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 154855mm U 927.798mm,,,,
17-VBL-20013,=67132086/1297,VALV,66620M0r01-GAS1/BTRF-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155185mm U 927.798mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1296,GASK,66620M0r01-GAS1/GKSW-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155518.2mm U 927.798mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1295,FLAN,66620M0r01-GAS1/WNFL-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155518.2mm U 927.798mm,,,,
ileave tube of /PS-171059.9,=67132086/1294,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155770.6mm U 927.799mm,,,,
PS-171059.9,=67132086/1294,ATTA,MDS/GT573-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155883mm U 927.8mm,,,,
PS-171059.13,=67132086/1293,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155883mm U 927.8mm,,,,
PS-171059.2,=67132086/1292,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155883mm U 927.8mm,,,,
ileave tube of =67132086/1291,=67132086/1291,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 155983mm U 927.8mm,,,,
"OLET 5 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1291,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156083mm U 927.8mm,,,,
ileave tube of =67132086/1290,=67132086/1290,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156375.7mm U 927.8mm,,,,
"OLET 4 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1290,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156668.4mm U 927.8mm,,,,
ileave tube of =67132086/1289,=67132086/1289,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 156968.4mm U 927.8mm,,,,
"OLET 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1289,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157268.4mm U 927.8mm,,,,
ileave tube of =67132086/1288,=67132086/1288,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157618.4mm U 927.8mm,,,,
"OLET 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1288,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 927.8mm,,,,
PS-171056.4,=67132086/1287,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 927.8mm,,,,
PS-171056.2,=67132086/1286,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 157968.4mm U 927.8mm,,,,
ileave tube of =67132086/1285,=67132086/1285,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158055.8mm U 927.8mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1285,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158448.2mm U 927.8mm,,,,
ileave tube of =67132086/1284,=67132086/1284,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158448.2mm U 1311.175mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1284,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158448.2mm U 1694.55mm,,,,
ileave tube of =67132086/1283,=67132086/1283,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158853.2mm U 1694.55mm,,,,
"OLET 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1283,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 158953.2mm U 1694.55mm,,,,
ileave tube of =67132086/1282,=67132086/1282,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 159328.2mm U 1694.55mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1282,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 160008.2mm U 1694.55mm,,,,
"ileave tube of /BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1281,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 160008.2mm U 1277.05mm,,,,
"BTRM-1000-8""-P1710002-66620M0-01/B2",=67132086/1281,BRAN,,"BTRM-1000-8""-P1710002-66620M0-01",,,,,
"ELBOW 1 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B1",=67132086/1280,ELBO,66620M0r01-GAS1/E90B-200,"BTRM-1000-8""-P1710002-66620M0-01",E 181425mm N 160008.2mm U 859.55mm,,,,
ileave tube of /SL-171502.7,=67132086/1279,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 180985mm N 160008.2mm U 859.55mm,,,,
SL-171502.7,=67132086/1279,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 180850mm N 160008.2mm U 859.55mm,,,,
SL-171502.2,=67132086/1278,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 180850mm N 160008.2mm U 859.55mm,,,,
ileave tube of =67132086/1277,=67132086/1277,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 180001.345mm N 160008.2mm U 859.55mm,,,,
"OLET 4 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B1",=67132086/1277,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 179152.69mm N 160008.2mm U 859.55mm,,,,
ileave tube of /SL-171501.5,=67132086/1276,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 177189.345mm N 160008.2mm U 859.55mm,,,,
SL-171501.5,=67132086/1276,ATTA,MDS/GT573-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 175226mm N 160008.2mm U 859.55mm,,,,
SL-171501.7,=67132086/1275,ATTA,MDS/AN578-200-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 175226mm N 160008.2mm U 859.55mm,,,,
SL-171501.3,=67132086/1274,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-P1710002-66620M0-01",E 175226mm N 160008.2mm U 859.55mm,,,,
ileave tube of =67132086/1273,=67132086/1273,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 174016.795mm N 160008.2mm U 859.55mm,,,,
"OLET 3 of BRANCH /BTRM-1000-8""-P1710002-66620M0-01/B1",=67132086/1273,OLET,66620M0r01-GAS1/BR3B-200x50,"BTRM-1000-8""-P1710002-66620M0-01",E 172807.59mm N 160008.2mm U 859.55mm,,,,
ileave tube of =67132086/1272,=67132086/1272,TUBI,66620M0r01-GAS1/PIPE-200,"BTRM-1000-8""-P1710002-66620M0-01",E 172078.26mm N 160008.2mm U 859.55mm,,,,
